flow_duration,Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight,label
-481876.47151040245,-78561275.73087282,8.73,-929.206395149231,-24563583.0,-40715133.0,0.0836291294996124,1.0,1.0,0.0,1.0,1.0,0.0,0.0,17.226083278656006,87.6065586090088,44.327014124393465,6277.872638225555,82467.60072898865,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-889675.5937866211,-34202.185678482056,236572.9744262695,5558.154228900274,39953.7500520595,69663.67177200317,-2043333078.3941429,-89.52370190620422,2035.3953122039843,-25511.857339188144,-1242433971.5525877,91.43089294433594,-4805.9350555419915,Attack
-435547.54875334457,-64305092.24458632,8.73,-1081.758542060852,-9445875.0,-36864594.0,0.0836291294996124,1.0,1.0,0.0,1.0,1.0,0.0,0.0,18.57554631233215,78.74846553802492,44.472477483749394,5214.961535453796,71706.9721660614,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-787912.8618484497,-29901.928251838686,241897.47647094724,5926.078361171087,33443.80874928207,63384.83051490784,-2166764283.1870174,-62.60183358192444,1730.8609486268965,-41474.2758629581,-1243318407.7047536,83.03153228759766,-5141.471883392333,Attack
-420967.94484435045,-65038714.11310234,8.73,-1320.768756866455,-6994618.5,-34430667.0,0.0836291294996124,1.0,1.0,0.0,1.0,1.0,0.0,0.0,19.38565502166748,76.4407361984253,41.517890721559525,4686.020167350769,69576.22803974152,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-805251.251625061,-30864.718599891665,254739.8284835815,2145.1137178411745,34509.32349176888,60395.36298942566,-2483357547.239378,-65.21167063713074,1659.4878968564822,-46524.90724835605,-1275166634.865797,85.69660949707031,-5131.770406341552,Attack
-426311.03990697686,-70310351.97741851,8.73,-1181.8189072608948,-6987741.75,-36920952.0,0.0836291294996124,1.0,1.0,0.0,1.0,1.0,0.0,0.0,19.59830584526062,73.38992004394532,62.74469251632691,5322.780757427216,69317.26346969604,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-840924.4636901856,-32434.530502891543,253380.56430816647,1715.944247316387,33635.80338084465,61739.54719734192,-2513604312.3667436,-62.71874809265137,1786.8881221233642,-44130.40078177919,-1265071729.4614143,86.0317611694336,-5409.932847595214,Attack
-416066.2961778667,-63560576.3644896,8.73,-1154.4843292236328,-5263611.75,-35158380.0,0.0836291294996124,1.0,1.0,0.0,1.0,1.0,0.0,0.0,19.854147243499753,77.04525508880616,59.68841997385025,4847.397740364075,70634.75823283195,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-797163.3978775025,-29972.82612743378,254439.0109863281,5038.637128780682,34336.5767555668,62951.40248966217,-2316431829.287963,-64.28667211532593,1692.4747321168431,-49006.41027453961,-1272161372.9681199,83.60698699951172,-5295.874514770508,Attack
-516000.4771408931,-75485222.0926146,8.73,-846.752278804779,-23654952.0,-39928755.0,0.0836291294996124,1.0,1.0,0.0,1.0,1.0,0.0,0.0,18.80025577545166,90.32811450958253,48.54985873699189,6976.887413978577,82629.58295726776,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-920725.356488037,-34874.62494754791,260014.0740280151,9744.26025657283,40860.357170122086,70426.32834148407,-2369388128.888493,-88.15278911590576,2043.3680129770764,-35506.88175520399,-1334935894.6872287,93.23796844482422,-5645.997940826415,Attack
-469452.70374719164,-61452942.0366363,8.73,-818.563506603241,-17016489.0,-38012946.0,0.0836291294996124,1.0,1.0,0.0,1.0,1.0,0.0,0.0,17.369306993484496,81.10582103729249,45.14402195215225,6254.149312019348,74753.67854070663,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-798664.8509078979,-30870.53080005646,226263.57490539548,11736.63087990231,33335.03314322858,66926.64443683624,-2108706743.6731505,-65.17471575737,1818.7311918214816,-36173.560918061645,-1203637809.3258784,82.33076477050781,-4958.820669555664,Attack
-458451.9631438209,-77588060.25605464,8.73,-1127.0080947875977,-13937724.0,-36987504.0,0.0836291294996124,1.0,1.0,0.0,1.0,1.0,0.0,0.0,19.270405864715574,82.97904624938965,44.751146376132965,5342.660798549652,75495.61211872101,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-897731.2762283325,-33496.23487167359,273339.2616348266,1011.7496568220192,39732.23052386359,63495.75130176544,-2544015906.952259,-82.84642004966736,1907.2250289742935,-42276.409204909185,-1346333822.4507499,92.13375091552734,-5878.948153686523,Attack
-482882.6744647872,-68732110.62603249,8.73,-776.9264960289001,-15729216.0,-40472361.0,0.0836291294996124,1.0,1.0,0.0,1.0,1.0,0.0,0.0,18.878807020187377,79.97015686035158,60.75017278194428,7097.863733768463,77236.60294485092,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-833705.3606246948,-31690.407431793214,233615.87697601315,10235.183073276945,33020.40504588463,70183.73922538757,-1927197855.3201175,-65.9569194316864,1916.4414498531462,-31624.808066649657,-1212241879.022572,84.32546997070312,-4888.987226104736,Attack
-529236.6178298574,-74975289.04004587,8.73,-1001.4351081848145,-23128096.5,-38645778.0,0.0836291294996124,1.0,1.0,0.0,1.0,1.0,0.0,0.0,19.832941007614135,94.28577251434328,38.837078577280046,6577.16855764389,81068.53373813629,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-928614.6010238647,-33875.40477676391,280047.8326721191,7714.180375090706,43424.72364734883,70740.44036102295,-2548280209.7041845,-97.0603814125061,2001.8442437449135,-40999.21097312638,-1405179411.423139,96.6279067993164,-6084.125100708007,Attack
